1 1
01.01.1969 00:00:00.00    86400.0    8.  -6. 0.7 2.8e-4  1.5  0.1
0.0416667    0.000    0.000    -3.800    97.000    1.100    90.000
0.0833333    0.000    0.000    -3.800    97.000    1.100    90.000
0.1250000    0.000    0.000    -3.800    97.000    1.100    90.000
0.1666667    0.000    0.000    -3.800    97.000    1.100    90.000
0.2083333    0.000    0.000    -3.800    97.000    1.100    90.000
0.2500000    0.000    0.000    -3.800    97.000    1.100    90.000
0.2916667    0.000    0.000    -3.800    97.000    1.100    90.000
0.3333333    0.000    0.000    -3.800    97.000    1.100    90.000
0.3750000    0.000    0.000    -3.800    97.000    1.100    90.000
0.4166667    0.000    0.000    -3.800    97.000    1.100    90.000
0.4583333    0.000    0.000    -3.800    97.000    1.100    90.000
0.5000000    0.000    0.000    -3.800    97.000    1.100    90.000
0.5416667    18.237    18.237    -3.800    97.000    1.100    90.000
0.5833333    18.237    18.237    -3.800    97.000    1.100    90.000
0.6250000    18.237    18.237    -3.800    97.000    1.100    90.000
0.6666667    18.237    18.237    -3.800    97.000    1.100    90.000
0.7083333    18.237    18.237    -3.800    97.000    1.100    90.000
0.7500000    18.237    18.237    -3.800    97.000    1.100    90.000
0.7916667    18.237    18.237    -3.800    97.000    1.100    90.000
0.8333333    18.237    18.237    -3.800    97.000    1.100    90.000
0.8750000    18.237    18.237    -3.800    97.000    1.100    90.000
0.9166667    18.237    18.237    -3.800    97.000    1.100    90.000
0.9583333    18.237    18.237    -3.800    97.000    1.100    90.000
1.0000000    18.237    18.237    -3.800    97.000    1.100    90.000
1.0416667    0.000    0.000    2.400    98.000    3.300    90.000
1.0833333    0.000    0.000    2.400    98.000    3.300    90.000
1.1250000    0.000    0.000    2.400    98.000    3.300    90.000
1.1666667    0.000    0.000    2.400    98.000    3.300    90.000
1.2083333    0.000    0.000    2.400    98.000    3.300    90.000
1.2500000    0.000    0.000    2.400    98.000    3.300    90.000
1.2916667    0.000    0.000    2.400    98.000    3.300    90.000
1.3333333    0.000    0.000    2.400    98.000    3.300    90.000
1.3750000    0.000    0.000    2.400    98.000    3.300    90.000
1.4166667    0.000    0.000    2.400    98.000    3.300    90.000
1.4583333    0.000    0.000    2.400    98.000    3.300    90.000
1.5000000    0.000    0.000    2.400    98.000    3.300    90.000
1.5416667    18.237    18.237    2.400    98.000    3.300    90.000
1.5833333    18.237    18.237    2.400    98.000    3.300    90.000
1.6250000    18.237    18.237    2.400    98.000    3.300    90.000
1.6666667    18.237    18.237    2.400    98.000    3.300    90.000
1.7083333    18.237    18.237    2.400    98.000    3.300    90.000
1.7500000    18.237    18.237    2.400    98.000    3.300    90.000
1.7916667    18.237    18.237    2.400    98.000    3.300    90.000
1.8333333    18.237    18.237    2.400    98.000    3.300    90.000
1.8750000    18.237    18.237    2.400    98.000    3.300    90.000
1.9166667    18.237    18.237    2.400    98.000    3.300    90.000
1.9583333    18.237    18.237    2.400    98.000    3.300    90.000
2.0000000    18.237    18.237    2.400    98.000    3.300    90.000
2.0416667    0.000    0.000    -3.600    98.000    0.300    90.000
2.0833333    0.000    0.000    -3.600    98.000    0.300    90.000
2.1250000    0.000    0.000    -3.600    98.000    0.300    90.000
2.1666667    0.000    0.000    -3.600    98.000    0.300    90.000
2.2083333    0.000    0.000    -3.600    98.000    0.300    90.000
2.2500000    0.000    0.000    -3.600    98.000    0.300    90.000
2.2916667    0.000    0.000    -3.600    98.000    0.300    90.000
2.3333333    0.000    0.000    -3.600    98.000    0.300    90.000
2.3750000    0.000    0.000    -3.600    98.000    0.300    90.000
2.4166667    0.000    0.000    -3.600    98.000    0.300    90.000
2.4583333    0.000    0.000    -3.600    98.000    0.300    90.000
2.5000000    0.000    0.000    -3.600    98.000    0.300    90.000
2.5416667    18.237    18.237    -3.600    98.000    0.300    90.000
2.5833333    18.237    18.237    -3.600    98.000    0.300    90.000
2.6250000    18.237    18.237    -3.600    98.000    0.300    90.000
2.6666667    18.237    18.237    -3.600    98.000    0.300    90.000
2.7083333    18.237    18.237    -3.600    98.000    0.300    90.000
2.7500000    18.237    18.237    -3.600    98.000    0.300    90.000
2.7916667    18.237    18.237    -3.600    98.000    0.300    90.000
2.8333333    18.237    18.237    -3.600    98.000    0.300    90.000
2.8750000    18.237    18.237    -3.600    98.000    0.300    90.000
2.9166667    18.237    18.237    -3.600    98.000    0.300    90.000
2.9583333    18.237    18.237    -3.600    98.000    0.300    90.000
3.0000000    18.237    18.237    -3.600    98.000    0.300    90.000
3.0416667    0.000    0.000    -3.300    99.000    0.300    90.000
3.0833333    0.000    0.000    -3.300    99.000    0.300    90.000
3.1250000    0.000    0.000    -3.300    99.000    0.300    90.000
3.1666667    0.000    0.000    -3.300    99.000    0.300    90.000
3.2083333    0.000    0.000    -3.300    99.000    0.300    90.000
3.2500000    0.000    0.000    -3.300    99.000    0.300    90.000
3.2916667    0.000    0.000    -3.300    99.000    0.300    90.000
3.3333333    0.000    0.000    -3.300    99.000    0.300    90.000
3.3750000    0.000    0.000    -3.300    99.000    0.300    90.000
3.4166667    0.000    0.000    -3.300    99.000    0.300    90.000
3.4583333    0.000    0.000    -3.300    99.000    0.300    90.000
3.5000000    0.000    0.000    -3.300    99.000    0.300    90.000
3.5416667    18.237    18.237    -3.300    99.000    0.300    90.000
3.5833333    18.237    18.237    -3.300    99.000    0.300    90.000
3.6250000    18.237    18.237    -3.300    99.000    0.300    90.000
3.6666667    18.237    18.237    -3.300    99.000    0.300    90.000
3.7083333    18.237    18.237    -3.300    99.000    0.300    90.000
3.7500000    18.237    18.237    -3.300    99.000    0.300    90.000
3.7916667    18.237    18.237    -3.300    99.000    0.300    90.000
3.8333333    18.237    18.237    -3.300    99.000    0.300    90.000
3.8750000    18.237    18.237    -3.300    99.000    0.300    90.000
3.9166667    18.237    18.237    -3.300    99.000    0.300    90.000
3.9583333    18.237    18.237    -3.300    99.000    0.300    90.000
4.0000000    18.237    18.237    -3.300    99.000    0.300    90.000
4.0416667    0.000    0.000    -4.400    96.000    0.300    90.000
4.0833333    0.000    0.000    -4.400    96.000    0.300    90.000
4.1250000    0.000    0.000    -4.400    96.000    0.300    90.000
4.1666667    0.000    0.000    -4.400    96.000    0.300    90.000
4.2083333    0.000    0.000    -4.400    96.000    0.300    90.000
4.2500000    0.000    0.000    -4.400    96.000    0.300    90.000
4.2916667    0.000    0.000    -4.400    96.000    0.300    90.000
4.3333333    0.000    0.000    -4.400    96.000    0.300    90.000
4.3750000    0.000    0.000    -4.400    96.000    0.300    90.000
4.4166667    0.000    0.000    -4.400    96.000    0.300    90.000
4.4583333    0.000    0.000    -4.400    96.000    0.300    90.000
4.5000000    0.000    0.000    -4.400    96.000    0.300    90.000
4.5416667    18.237    18.237    -4.400    96.000    0.300    90.000
4.5833333    18.237    18.237    -4.400    96.000    0.300    90.000
4.6250000    18.237    18.237    -4.400    96.000    0.300    90.000
4.6666667    18.237    18.237    -4.400    96.000    0.300    90.000
4.7083333    18.237    18.237    -4.400    96.000    0.300    90.000
4.7500000    18.237    18.237    -4.400    96.000    0.300    90.000
4.7916667    18.237    18.237    -4.400    96.000    0.300    90.000
4.8333333    18.237    18.237    -4.400    96.000    0.300    90.000
4.8750000    18.237    18.237    -4.400    96.000    0.300    90.000
4.9166667    18.237    18.237    -4.400    96.000    0.300    90.000
4.9583333    18.237    18.237    -4.400    96.000    0.300    90.000
5.0000000    18.237    18.237    -4.400    96.000    0.300    90.000
5.0416667    0.000    0.000    -6.300    98.000    0.300    90.000
5.0833333    0.000    0.000    -6.300    98.000    0.300    90.000
5.1250000    0.000    0.000    -6.300    98.000    0.300    90.000
5.1666667    0.000    0.000    -6.300    98.000    0.300    90.000
5.2083333    0.000    0.000    -6.300    98.000    0.300    90.000
5.2500000    0.000    0.000    -6.300    98.000    0.300    90.000
5.2916667    0.000    0.000    -6.300    98.000    0.300    90.000
5.3333333    0.000    0.000    -6.300    98.000    0.300    90.000
5.3750000    0.000    0.000    -6.300    98.000    0.300    90.000
5.4166667    0.000    0.000    -6.300    98.000    0.300    90.000
5.4583333    0.000    0.000    -6.300    98.000    0.300    90.000
5.5000000    0.000    0.000    -6.300    98.000    0.300    90.000
5.5416667    18.237    18.237    -6.300    98.000    0.300    90.000
5.5833333    18.237    18.237    -6.300    98.000    0.300    90.000
5.6250000    18.237    18.237    -6.300    98.000    0.300    90.000
5.6666667    18.237    18.237    -6.300    98.000    0.300    90.000
5.7083333    18.237    18.237    -6.300    98.000    0.300    90.000
5.7500000    18.237    18.237    -6.300    98.000    0.300    90.000
